,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
38,-12.3,9.7,662.7,0.008,0.04,-0.066,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.15,0.24,0.0
39,-12.3,9.6,663.1,0.009,0.037,-0.068,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.08,0.05,0.27,0.0
40,-12.4,9.6,662.9,0.004,0.039,-0.065,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.12,0.0,0.3,0.0
41,-12.4,9.5,662.3,0.008,0.038,-0.067,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.1,0.0,0.29,0.0
42,-12.4,9.6,662.8,0.002,0.039,-0.066,0.0,0.0,0.58,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.08,0.0,0.19,0.0
43,-12.4,9.6,663.4,0.009,0.041,-0.066,0.0,0.0,0.63,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.0,0.17,0.0
44,-12.5,9.7,663.3,0.005,0.04,-0.066,0.0,0.0,0.59,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.07,0.1,0.0
45,-12.4,9.6,662.6,0.006,0.038,-0.067,0.0,0.0,0.61,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.13,0.15,0.0
46,-12.4,9.6,661.9,0.003,0.038,-0.066,0.0,0.0,0.58,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.18,0.17,0.0
47,-12.4,9.5,661.6,0.005,0.035,-0.067,0.0,0.0,0.58,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.05,0.12,0.21,0.0
48,-12.3,9.5,662.1,0.001,0.038,-0.066,0.0,0.0,0.55,0.05,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.06,0.2,0.0
49,-12.2,9.5,661.3,0.006,0.033,-0.066,0.0,0.0,0.53,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.03,0.17,0.0
50,-12.1,9.5,661.3,0.004,0.034,-0.065,0.0,0.0,0.53,0.11,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.02,0.02,0.15,0.0
51,-12.0,9.6,661.1,0.006,0.031,-0.065,0.0,0.0,0.54,0.07,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.02,0.04,0.1,0.03
52,-11.9,9.6,663.1,0.002,0.033,-0.064,0.0,0.0,0.57,0.01,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.02,0.09,0.03
53,-11.9,9.6,662.9,0.007,0.033,-0.064,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.02,0.03,0.03
54,-11.9,9.6,662.4,0.005,0.032,-0.063,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.03,0.0
55,-11.9,9.6,662.6,0.008,0.032,-0.063,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0
56,-11.9,9.6,662.6,0.006,0.032,-0.063,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.01,0.0
57,-11.9,9.6,661.7,0.007,0.029,-0.063,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.0,0.0,0.0,0.01,0.0
